administrative_area_level_1,administrative_area_level_2,city,latitude,longitude,sa_clli
Quebec,Gaspésie--Îles-de-la-Madeleine,Pabos,48.358204,-64.636935,CHNDPQ
Quebec,Gaspésie--Îles-de-la-Madeleine,Pabos Mills,48.306755,-64.70767,CHNDPQ
Quebec,Gaspésie--Îles-de-la-Madeleine,Sainte-Thérèse-de-Gaspé,48.410751,-64.419601,GDRVPQ
Ontario,Simcoe County,New Tecumseth,44.15306,-79.86502,ALTOONBA
Ontario,Simcoe County,Barrie,44.3931364,-79.693521,BARION18
Ontario,Simcoe County,Barrie,44.4015101,-79.7028636,BARIONBF
Ontario,Northumberland County,Brighton,44.0403245,-77.7305072,BITNONAL
Ontario,Regional Municipality of Peel,Brampton,43.6873629,-79.756915,BMTNON13
Ontario,Regional Municipality of Peel,Brampton,43.7393539,-79.6967902,BMTNON37
Ontario,Simcoe County,Borden,44.2903648,-79.8974433,CPBDON20
Ontario,Regional Municipality of Peel,Mississauga,43.608133,-79.654729,CKVLON01
Ontario,Regional Municipality of Peel,Mississauga,43.5823682,-79.6158932,CKVLON17
Ontario,Simcoe County,Borden,44.290758,-79.897809,CPBDONAA
Ontario,Toronto,Toronto,43.719027,-79.603679,EBCKONDF
Ontario,Sudbury District,Espanola,46.257395,-81.773967,ESPNON66
Ontario,Toronto,Toronto,43.7048443,-79.3612142,EYRKONAE
Ontario,Wellington County,Guelph,43.544913,-80.2498186,GLPHON22
Ontario,Wellington County,Guelph,43.4848656,-80.1975963,GLPHONTF
Ontario,Regional Municipality of Peel,Mississauga,43.70963,-79.63699,MALTON22
Ontario,Regional Municipality of Peel,Mississauga,43.66349,-79.67237,MALTON23
Ontario,Simcoe County,Port Severn,44.806111,-79.619722,MRDLONAA
Ontario,Regional Municipality of York,Markham,43.81838,-79.33412,MRHMONBC
Ontario,Regional Municipality of York,Markham,43.85076,-79.34263,UNVLON55
Ontario,Regional Municipality of York,Markham,43.8352,-79.33105,MRHMONDR
Ontario,Regional Municipality of Peel,Mississauga,43.6034,-79.73544,MSSGONAN
Ontario,Regional Municipality of Peel,Mississauga,43.60135,-79.7463,MSSGONAP
Ontario,Regional Municipality of Peel,Mississauga,43.604961,-79.739153,MSSGONFD
Ontario,Regional Municipality of Peel,Mississauga,43.56758,-79.66412,MSSGONJR
Ontario,Parry Sound District,McDougall,45.435278,-80.101111,NOBLONAD
Ontario,Nipissing District,North Bay,46.313745,-79.465188,NRBAON24
Ontario,Regional Municipality of York,Newmarket,44.05416,-79.45888,NWMKON85
Ontario,Toronto,Toronto,43.77424,-79.32606,TOROON46
Ontario,Regional Municipality of Halton,Oakville,43.45567,-79.66623,OKVLON30
Ontario,Simcoe County,Orillia,44.603185,-79.419833,ORLLON11
Ontario,Regional Municipality of York,Richmond Hill,43.87688,-79.43975,RMHLON34
Ontario,Sudbury District,Alban,46.104167,-80.659444,RUTRONAA
Ontario,Greater Sudbury,Greater Sudbury,46.489725,-80.990106,SDBRON98
Ontario,Greater Sudbury,Greater Sudbury,46.491667,-80.9975,SDBRONGU
Ontario,Sudbury District,Biscotasing,46.941111,-81.798056,SHHNONAA
Ontario,Algoma District,Serpent River,46.212377,-82.538176,SPNHON46
Ontario,Toronto,Toronto,43.77722,-79.25121,SRBHONBG
Ontario,Algoma District,Sault Ste. Marie,46.51328,-84.33578,SSMRON94
Ontario,Regional Municipality of Peel,Mississauga,43.58083,-79.71409,SSVLON39
Ontario,Regional Municipality of Peel,Mississauga,43.5856,-79.7279,SSVLONAA
Ontario,Regional Municipality of York,Markham,43.8413,-79.37557,TNHLON40
Ontario,Regional Municipality of York,Vaughan,43.81518,-79.42496,TNHLON40
Ontario,Toronto,Toronto,43.64023,-79.39331,TORDONDX
Ontario,Toronto,Toronto,43.64342,-79.38117,TORDONYE
Ontario,Toronto,Toronto,43.602733,-79.540032,TOROON27
Ontario,Toronto,Toronto,43.65086,-79.36195,TOROON01
Ontario,Toronto,Toronto,43.67139,-79.38587,TOROON02
Ontario,Toronto,Toronto,43.67978,-79.29761,TOROON04
Ontario,Toronto,Toronto,43.718267,-79.377704,TOROON05
Ontario,Toronto,Toronto,43.70751,-79.39642,TOROON06
Ontario,Toronto,Toronto,43.70481,-79.43922,TOROON07
Ontario,Toronto,Toronto,43.66092,-79.43607,TOROON09
Ontario,Toronto,Toronto,43.68412,-79.45322,TOROON10
Ontario,Toronto,Toronto,43.78451,-79.28009,TOROON21
Ontario,Toronto,Toronto,43.64537,-79.51974,TOROON26
Ontario,Toronto,Toronto,43.64437,-79.57976,TOROON29
Ontario,Toronto,Toronto,43.72125,-79.30079,TOROON36
Ontario,Toronto,Toronto,43.7387,-79.56652,TOROON43
Ontario,Toronto,Toronto,43.69927,-79.51589,TOROON44
Ontario,Toronto,Toronto,43.75812,-79.46029,TOROON45
Ontario,Toronto,Toronto,43.779037,-79.418232,TOROON47
Ontario,Toronto,Toronto,43.79019,-79.33556,TOROON48
Ontario,Toronto,Toronto,43.78232,-79.47756,TOROON61
Ontario,Toronto,Toronto,43.6527,-79.38903,TOROON63
Ontario,Toronto,Toronto,43.774382,-79.494066,TOROONAU
Ontario,Toronto,Toronto,43.661037,-79.383947,TOROONDD
Ontario,Toronto,Toronto,43.78039,-79.24513,TOROON50
Ontario,Toronto,Toronto,43.64167,-79.41219,TOROONHB
Ontario,Toronto,Toronto,43.64756,-79.37654,TOROONKW
Ontario,Toronto,Toronto,43.64652,-79.37874,TOROONKX
Ontario,Toronto,Toronto,43.65357,-79.38706,TOROONNL
Ontario,Toronto,Toronto,43.76965,-79.331,TOROONPK
Ontario,Toronto,Toronto,43.64721,-79.37933,TOROONSY
Ontario,Toronto,Toronto,43.64272,-79.37405,TOROONTR
Ontario,Toronto,Toronto,43.76602,-79.4124,TOROONUH
Ontario,Toronto,Toronto,43.65399,-79.38717,TOROONWR
Ontario,Toronto,Toronto,43.64476,-79.38391,TOROONXN
Ontario,Toronto,Toronto,43.64786,-79.38202,TOROONZD
Ontario,Toronto,Toronto,43.72932,-79.5271,TOROONZY
Ontario,Toronto,Toronto,43.64823,-79.37952,TORTONXL
Ontario,Toronto,Toronto,43.69607,-79.58804,TORUONVP
Ontario,Nipissing District,Jocko,46.67003,-79.37937,TOROON63
Ontario,Toronto,Toronto,43.7252921,-79.4875831,TORZONNC
