Id,Techno,Eqpt_Mod,Act,,Act_desc,Avg_single,PS50_Plan,PS50_Act,Avg_Actual
657,9,102,DFOT,6,Ajout de facilité,10.1,9,0,3
658,9,102,DESN,1,Enlèvement de carte,2,4,0,2
659,9,102,DFOT,6,Enlèvement de carte,4.5,2,0,9
660,9,102,DESN,1,Enlèvement de facilité,0,0,0,
661,9,102,DFOT,6,Enlèvement de facilité,0,0,0,
662,9,102,DESN,1,Décomission,0,0,0,0
663,9,102,DFOT,6,Décomission,0,0,0,0
664,9,103,DESN,1,Mise en service,0,0,0,
665,9,103,DFOT,6,Mise en service,0,0,0,
666,9,103,DESN,1,Ajout de carte,4.9,4,0,3
667,9,103,DFOT,6,Ajout de carte,5.7,5,0,6
668,9,103,DESN,1,Ajout de facilité,0,0,0,
669,9,103,DFOT,6,Ajout de facilité,0,0,0,0
670,9,103,DESN,1,Enlèvement de carte,2.9,3,0,3
671,9,103,DFOT,6,Enlèvement de carte,5.4,5,0,6
672,9,103,DESN,1,Enlèvement de facilité,0,0,0,
673,9,103,DFOT,6,Enlèvement de facilité,0,0,0,
674,9,103,DESN,1,Décomission,0,0,0,
675,9,103,DFOT,6,Décomission,0,0,0,
676,9,104,DESN,1,Mise en service,17.1,12,0,11
677,9,104,DFOT,6,Mise en service,9.7,12,0,7
678,9,104,DESN,1,Ajout de carte,5.1,6,0,6
679,9,104,DFOT,6,Ajout de carte,2.5,4,0,2
680,9,104,DESN,1,Ajout de facilité,5,5,0,4
681,9,104,DFOT,6,Ajout de facilité,5,7,0,3
682,9,104,DESN,1,Enlèvement de carte,1.7,3,0,
683,9,104,DFOT,6,Enlèvement de carte,1.1,2,0,
684,9,104,DESN,1,Enlèvement de facilité,8.6,9,0,4
685,9,104,DFOT,6,Enlèvement de facilité,4,4,0,7
686,9,104,DESN,1,Décomission,8.4,9,0,8
687,9,104,DFOT,6,Décomission,5.2,4,0,5
688,9,105,DESN,1,Décomission,3.1,5,0,2
689,9,105,DFOT,6,Décomission,4.5,9,0,2
690,9,106,DESN,1,Mise en service,6.9,7,0,5
691,9,106,DFOT,6,Mise en service,18.4,14,0,5
692,9,106,DESN,1,Décomission,11.5,12,0,12
693,9,106,DFOT,6,Décomission,0,0,0,0
694,9,14,APMD,12,Fiber Caracterization,2.2,3,0,1
695,9,14,DFOT,6,Fiber Caracterization,1.4,3,0,1
696,9,14,DESN,1,Migration de circuits,2.5,3,0,4
697,9,14,DFOT,6,Migration de circuits,4,4,0,6
698,9,14,DESN,1,Tools & TestSet,1.5,2,0,1
699,9,14,DESN,1,Spare,1.1,2,0,1
700,9,14,DFOT,6,Spare,1.8,2,0,2
701,9,17,DESN,1,RTU / Software,2.5,3,0,0
702,9,100,DESN,1,Mise en service,7.4,12,0,7
703,9,100,DFOT,6,Mise en service,8.4,17,0,
704,9,100,DESN,1,Ajout de carte,4,4,0,
705,9,100,DFOT,6,Ajout de carte,3.7,5,0,
